Sale_Date,Diesel price (in USS)
1/2/1995,1.104
1/9/1995,1.102
1/16/1995,1.1
1/23/1995,1.095
1/30/1995,1.09
2/6/1995,1.086
2/13/1995,1.088
2/20/1995,1.088
2/27/1995,1.089
3/6/1995,1.089
3/13/1995,1.088
3/20/1995,1.085
3/27/1995,1.088
4/3/1995,1.094
4/10/1995,1.101
4/17/1995,1.106
4/24/1995,1.115
5/1/1995,1.119
5/8/1995,1.126
5/15/1995,1.126
5/22/1995,1.124
5/29/1995,1.13
6/5/1995,1.124
6/12/1995,1.122
6/19/1995,1.117
6/26/1995,1.112
7/3/1995,1.106
7/10/1995,1.103
7/17/1995,1.099
7/24/1995,1.098
7/31/1995,1.093
8/7/1995,1.099
8/14/1995,1.106
8/21/1995,1.106
8/28/1995,1.109
9/4/1995,1.115
9/11/1995,1.119
9/18/1995,1.122
9/25/1995,1.121
10/2/1995,1.117
10/9/1995,1.117
10/16/1995,1.117
10/23/1995,1.114
10/30/1995,1.11
11/6/1995,1.118
11/13/1995,1.118
11/20/1995,1.119
11/27/1995,1.124
12/4/1995,1.123
12/11/1995,1.124
12/18/1995,1.13
12/25/1995,1.141
1/1/1996,1.148
1/8/1996,1.146
1/15/1996,1.152
1/22/1996,1.144
1/29/1996,1.136
2/5/1996,1.13
2/12/1996,1.134
2/19/1996,1.151
2/26/1996,1.164
3/4/1996,1.175
3/11/1996,1.173
3/18/1996,1.172
3/25/1996,1.21
4/1/1996,1.222
4/8/1996,1.249
4/15/1996,1.305
4/22/1996,1.304
4/29/1996,1.285
5/6/1996,1.292
5/13/1996,1.285
5/20/1996,1.274
5/27/1996,1.254
6/3/1996,1.24
6/10/1996,1.215
6/17/1996,1.193
6/24/1996,1.179
7/1/1996,1.172
7/8/1996,1.173
7/15/1996,1.178
7/22/1996,1.184
7/29/1996,1.178
8/5/1996,1.184
8/12/1996,1.191
8/19/1996,1.206
8/26/1996,1.222
9/2/1996,1.231
9/9/1996,1.25
9/16/1996,1.276
9/23/1996,1.277
9/30/1996,1.289
10/7/1996,1.308
10/14/1996,1.326
10/21/1996,1.329
10/28/1996,1.329
11/4/1996,1.323
11/11/1996,1.316
11/18/1996,1.324
11/25/1996,1.327
12/2/1996,1.323
12/9/1996,1.32
12/16/1996,1.307
12/23/1996,1.3
12/30/1996,1.295
1/6/1997,1.291
1/13/1997,1.296
1/20/1997,1.293
1/27/1997,1.283
2/3/1997,1.288
